"","treat","lictec2","motivation","barriers","consiglio_lictec2","stdmatIII","stditaIII","school","perc_participation_orient","perc_participation_calp","perc_participation","late","female","immigrato_prima_gen","stdinvalsiI","stdinvalsiI_2","province","educmother","occmother","educfather","occfather","citizenship","preds","sqrt","excesserror","debiasederror","mom_working_class","mom_high_class","mom_home","mom_unemp","mom_miss","dad_working_class","dad_high_class","dad_home","dad_unemp","dad_miss","mom_educ_uni","mom_educ_hs","mom_educ_lhs","mom_educ_mis","dad_educ_uni","dad_educ_hs","dad_educ_lhs","dad_educ_mis","std_cit_latin","std_cit_afric","std_cit_asia","std_cit_easteur","province_pd","province_bs","province_mi","province_to","province_ge"
"305",1,1,0.6775619,-0.3587799,1,0.8653655,-0.2650878,"10",1,0.9655172,0.9761904,0,0,1,0.0843838,0.0071206,"2","2","3","1","1","4",0.0788488955964869,0.0476487039555563,4.53173394781242e-07,0.0207363718313411,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"306",1,1,-0.3696799,-0.0138611,0,-0.5651366,-1.357351,"10",1,0.9310345,0.952381,0,0,0,0.1674397,0.0280361,"2","3","2","3","4","2",0.115734718464287,0.0452123809700308,4.48948986026109e-07,0.023099879471875,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"307",1,1,-0.0033724,0.1109324,1,-1.399596,-0.0664947,"11",0.9230769,0.6551724,0.7380952,0,1,0,-0.0939051,0.0088182,"2","2","3","1","1","3",0.0353996004481246,0.0591043406541612,5.72588071843408e-07,0.0349859707312392,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"308",1,1,NA,NA,0,-0.445928,-0.1657912,"7",0,0,0,0,0,0,-0.4826437,0.2329449,"2","4","5","4","5","3",0.0291902356055957,0.0667077635723661,6.75085777901578e-07,0.25690570240204,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"309",0,1,0.5501961,-0.2255337,0,-0.2075111,0.1320989,"25",NA,NA,NA,1,0,1,1.014725,1.029667,"2","2","3","2","2","3",0.074712568206408,0.0350923669571832,4.31469233801406e-07,0.0311488283109835,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"310",1,1,-0.5215415,-0.0502687,1,0.5077398,-1.059461,"8",1,1,1,1,0,1,-0.2025645,0.0410324,"2","2","3","2","4","4",0.0738682577618986,0.055313065384651,6.38113402338444e-07,0.0866348798634083,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"311",0,1,NA,NA,0,-0.6843451,0.2313955,"9",NA,NA,NA,0,0,1,0.0397719,0.0015818,"2","2","2","2","2","4",0.0663750629616422,0.0465554137717117,4.75595432508462e-07,0.0494600364863374,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"312",0,1,NA,NA,0,NA,NA,"1",NA,NA,NA,0,0,0,0.3966175,0.1573054,"2","4","5","4","5","4",0.107930904359151,0.0499093103138193,6.03699846280339e-07,0.137494443354447,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"313",0,1,0.1264601,0.4040793,0,-0.445928,-0.0664947,"15",NA,NA,NA,1,0,1,0.931886,0.8684114,"2","3","3","3","2","2",0.0746086082121029,0.0457414007959401,4.53679859667192e-07,0.0357044110063223,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"314",0,1,NA,NA,0,NA,NA,"5",NA,NA,NA,1,0,1,0.0971219,0.0094327,"2","4","5","4","5","4",0.0921979473157579,0.0675385664403159,6.10868652734252e-07,0.223864458500643,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
